instance_name,parameter_name,parameter_value,seed,n_iterations,xi_min,xi_max,cooling_rate,segment_size,total_cost,rider_cost,drone_cost,delay_cost,self_pickup_cost,drone_served_orders,drone_mode_ratio,on_time_rate,average_delay,max_delay,average_walking_distance,drone_utilization,feasible,cpu_time,incumbent_inherited,initial_incumbent_cost
RDL-n25-02,drone_range,16,7,10000,0.1,0.4,0.997,100,478.852824,404.642397,58.44292,7.164374,8.603133,6,0.24,0.84,0.028657,0.320578,0.716928,0.75,True,21.568048,False,
RDL-n25-02,drone_range,20,7,10000,0.1,0.4,0.997,100,478.852824,404.642397,58.44292,7.164374,8.603133,6,0.24,0.84,0.028657,0.320578,0.716928,0.75,True,21.530985,False,
RDL-n25-02,drone_range,24,7,10000,0.1,0.4,0.997,100,478.852824,404.642397,58.44292,7.164374,8.603133,6,0.24,0.84,0.028657,0.320578,0.716928,0.75,True,21.552488,False,
RDL-n25-02,drone_range,30,7,10000,0.1,0.4,0.997,100,478.852824,404.642397,58.44292,7.164374,8.603133,6,0.24,0.84,0.028657,0.320578,0.716928,0.75,True,21.582957,False,
RDL-n25-02,drone_range,8,8,10000,0.1,0.4,0.997,100,501.642257,497.111076,0.0,4.53118,0.0,0,0.0,0.92,0.018125,0.320578,0.0,0.0,True,20.107471,False,
RDL-n25-02,drone_range,12,8,10000,0.1,0.4,0.997,100,501.642257,497.111076,0.0,4.53118,0.0,0,0.0,0.92,0.018125,0.320578,0.0,0.0,True,20.139553,False,
RDL-n25-02,drone_range,16,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.473252,False,
RDL-n25-02,drone_range,20,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.561597,False,
RDL-n25-02,drone_range,24,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.526073,False,
RDL-n25-02,drone_range,30,8,10000,0.1,0.4,0.997,100,478.159873,428.125667,43.344968,0.0,6.689238,4,0.16,1.0,0.0,0.0,0.836155,0.5,True,21.52244,False,
RDL-n25-02,drone_range,8,9,10000,0.1,0.4,0.997,100,500.086941,454.297617,34.45809,4.53118,6.800053,5,0.2,0.92,0.018125,0.320578,0.680005,0.625,True,21.051217,False,
RDL-n25-02,drone_range,12,9,10000,0.1,0.4,0.997,100,500.086941,454.297617,34.45809,4.53118,6.800053,5,0.2,0.92,0.018125,0.320578,0.680005,0.625,True,21.089731,False,
RDL-n25-02,drone_range,16,9,10000,0.1,0.4,0.997,100,478.025982,410.887516,58.44292,0.092413,8.603133,6,0.24,0.96,0.00037,0.009241,0.716928,0.75,True,21.477238,False,
RDL-n25-02,drone_range,20,9,10000,0.1,0.4,0.997,100,478.025982,410.887516,58.44292,0.092413,8.603133,6,0.24,0.96,0.00037,0.009241,0.716928,0.75,True,21.647792,False,
RDL-n25-02,drone_range,24,9,10000,0.1,0.4,0.997,100,478.025982,410.887516,58.44292,0.092413,8.603133,6,0.24,0.96,0.00037,0.009241,0.716928,0.75,True,21.676059,False,
RDL-n25-02,drone_range,30,9,10000,0.1,0.4,0.997,100,478.025982,410.887516,58.44292,0.092413,8.603133,6,0.24,0.96,0.00037,0.009241,0.716928,0.75,True,21.514798,False,
RDL-n25-02,drone_range,8,10,10000,0.1,0.4,0.997,100,496.172898,476.389064,13.783236,4.53118,1.469418,2,0.08,0.92,0.018125,0.320578,0.367355,0.25,True,21.062736,False,
RDL-n25-02,drone_range,12,10,10000,0.1,0.4,0.997,100,496.172898,476.389064,13.783236,4.53118,1.469418,2,0.08,0.92,0.018125,0.320578,0.367355,0.25,True,21.019795,False,
RDL-n25-02,drone_range,16,10,10000,0.1,0.4,0.997,100,489.343293,441.041992,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,22.392205,False,
RDL-n25-02,drone_range,20,10,10000,0.1,0.4,0.997,100,489.343293,441.041992,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.683563,False,
RDL-n25-02,drone_range,24,10,10000,0.1,0.4,0.997,100,489.343293,441.041992,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.651217,False,
RDL-n25-02,drone_range,30,10,10000,0.1,0.4,0.997,100,489.343293,441.041992,36.45335,4.53118,7.31677,3,0.12,0.92,0.018125,0.320578,1.219462,0.375,True,21.584809,False,
RDL-n25-03,drone_range,8,1,10000,0.1,0.4,0.997,100,436.115321,431.581426,2.285607,0.0,2.248288,1,0.04,1.0,0.0,0.0,1.124144,0.125,True,18.049547,False,
RDL-n25-03,drone_range,12,1,10000,0.1,0.4,0.997,100,461.413883,461.413883,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,16.591902,False,
RDL-n25-03,drone_range,16,1,10000,0.1,0.4,0.997,100,461.413883,461.413883,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,16.594332,False,
RDL-n25-03,drone_range,20,1,10000,0.1,0.4,0.997,100,436.379128,416.176536,18.97687,0.0,1.225722,2,0.08,1.0,0.0,0.0,0.30643,0.25,True,16.181462,False,
RDL-n25-03,drone_range,24,1,10000,0.1,0.4,0.997,100,436.379128,416.176536,18.97687,0.0,1.225722,2,0.08,1.0,0.0,0.0,0.30643,0.25,True,16.466371,False,
RDL-n25-03,drone_range,30,1,10000,0.1,0.4,0.997,100,436.379128,416.176536,18.97687,0.0,1.225722,2,0.08,1.0,0.0,0.0,0.30643,0.25,True,16.442266,False,
RDL-n25-03,drone_range,8,2,10000,0.1,0.4,0.997,100,440.154102,440.154102,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,True,18.970308,False,
RDL-n25-03,drone_range,12,2,10000,0.1,0.4,0.997,100,454.229301,449.695406,2.285607,0.0,2.248288,1,0.04,1.0,0.0,0.0,1.124144,0.125,True,17.819617,False,
RDL-n25-03,drone_range,16,2,10000,0.1,0.4,0.997,100,454.229301,449.695406,2.285607,0.0,2.248288,1,0.04,1.0,0.0,0.0,1.124144,0.125,True,18.02793,False,
RDL-n25-03,drone_range,20,2,10000,0.1,0.4,0.997,100,454.208278,416.548068,35.837831,0.0,1.822379,3,0.12,1.0,0.0,0.0,0.30373,0.375,True,16.595404,False,
RDL-n25-03,drone_range,24,2,10000,0.1,0.4,0.997,100,454.208278,416.548068,35.837831,0.0,1.822379,3,0.12,1.0,0.0,0.0,0.30373,0.375,True,16.946542,False,
RDL-n25-03,drone_range,30,2,10000,0.1,0.4,0.997,100,454.208278,416.548068,35.837831,0.0,1.822379,3,0.12,1.0,0.0,0.0,0.30373,0.375,True,16.823697,False,
RDL-n25-03,drone_range,8,3,10000,0.1,0.4,0.997,100,434.959971,430.426076,2.285607,0.0,2.248288,1,0.04,1.0,0.0,0.0,1.124144,0.125,True,18.586714,False,
RDL-n25-03,drone_range,12,3,10000,0.1,0.4,0.997,100,439.86203,430.906924,4.571214,0.0,4.383891,2,0.08,1.0,0.0,0.0,1.095973,0.25,True,16.961877,False,
RDL-n25-03,drone_range,16,3,10000,0.1,0.4,0.997,100,439.86203,430.906924,4.571214,0.0,4.383891,2,0.08,1.0,0.0,0.0,1.095973,0.25,True,16.398165,False,
RDL-n25-03,drone_range,20,3,10000,0.1,0.4,0.997,100,435.566096,415.363504,18.97687,0.0,1.225722,2,0.08,1.0,0.0,0.0,0.30643,0.25,True,16.367517,False,
