Setting,Instance,n,Iterations,Run,XiMin,XiMax,Eta,Psi,Penalty,RestartFraction,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Restarts,Time,Feasible
Restart-0.10,RDL-tune-n25-02,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,492.178743,417.68,69.39,0.0,5.11,19,6,5,19.949035,True
Restart-0.10,RDL-tune-n25-02,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,492.191494,407.54,80.49,0.0,4.16,19,6,7,19.991796,True
Restart-0.10,RDL-tune-n25-03,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,459.534917,404.07,50.03,0.64,4.79,21,4,8,20.738662,True
Restart-0.10,RDL-tune-n25-03,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,459.534917,404.07,50.03,0.64,4.79,21,4,8,21.077866,True
Restart-0.10,RDL-tune-n25-03,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,459.534917,404.07,50.03,0.64,4.79,21,4,8,25.015974,True
Restart-0.10,RDL-tune-n25-04,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,503.241769,494.6,7.23,1.07,0.34,24,1,6,19.070745,True
Restart-0.10,RDL-tune-n25-04,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,509.488917,500.83,7.54,0.08,1.04,24,1,5,19.674769,True
Restart-0.10,RDL-tune-n25-04,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,504.748472,488.6,14.77,0.0,1.38,23,2,6,19.796141,True
Restart-0.10,RDL-tune-n25-05,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,542.71743,488.81,49.95,1.63,2.33,21,4,7,23.112369,True
Restart-0.10,RDL-tune-n25-05,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,538.895416,484.99,49.95,1.63,2.33,21,4,5,22.708619,True
Restart-0.10,RDL-tune-n25-05,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,539.526403,487.25,49.95,0.0,2.33,21,4,6,22.744952,True
Restart-0.10,RDL-tune-n25-06,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,508.588131,508.59,0.0,0.0,0.0,25,0,7,20.875508,True
Restart-0.10,RDL-tune-n25-06,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,504.696572,503.86,0.0,0.84,0.0,25,0,7,18.120037,True
Restart-0.10,RDL-tune-n25-06,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,509.832284,509.83,0.0,0.0,0.0,25,0,6,16.845329,True
Restart-0.10,RDL-tune-n25-07,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,602.374231,597.35,0.0,5.02,0.0,25,0,6,13.759635,True
Restart-0.10,RDL-tune-n25-07,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,603.76971,603.77,0.0,0.0,0.0,25,0,6,15.202674,True
Restart-0.10,RDL-tune-n25-07,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,606.232525,571.85,24.56,6.11,3.71,23,2,5,16.60085,True
Restart-0.10,RDL-tune-n25-08,25,10000,0,0.1,0.4,0.997,100,10000.0,0.1,513.795482,431.48,70.06,3.63,8.62,18,7,9,24.606898,True
Restart-0.10,RDL-tune-n25-08,25,10000,1,0.1,0.4,0.997,100,10000.0,0.1,512.586206,450.31,50.92,3.5,7.85,20,5,8,26.594212,True
Restart-0.10,RDL-tune-n25-08,25,10000,2,0.1,0.4,0.997,100,10000.0,0.1,512.655305,451.79,50.92,2.47,7.47,20,5,6,24.619223,True
