Instance,n,Iterations,xi_min,xi_max,eta,psi,Run,Cost,RiderCost,DroneCost,DelayCost,WalkCost,Direct,Drone,Time,Feasible
RDL-tune-n25-08,25,10000,0.1,0.4,0.995,100,1,514.93,465.59,43.8,0.0,5.54,20,5,19.24,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.995,100,2,502.92,423.11,70.06,0.75,9.0,18,7,19.7,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.997,100,0,503.96,421.4,70.06,3.5,9.0,18,7,19.23,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.997,100,1,511.78,449.51,50.92,3.5,7.85,20,5,19.18,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.997,100,2,512.66,451.79,50.92,2.47,7.47,20,5,18.81,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.999,100,0,516.98,467.58,43.8,0.0,5.6,20,5,19.76,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.999,100,1,513.46,452.59,50.92,2.47,7.47,20,5,19.37,True
RDL-tune-n25-08,25,10000,0.1,0.4,0.999,100,2,522.29,450.23,61.84,2.47,7.75,19,6,19.11,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.995,100,0,511.78,449.51,50.92,3.5,7.85,20,5,27.78,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.995,100,1,512.59,450.31,50.92,3.5,7.85,20,5,29.76,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.995,100,2,501.66,419.09,70.06,3.5,9.0,18,7,27.98,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.997,100,0,517.69,468.35,43.8,0.0,5.54,20,5,28.92,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.997,100,1,512.83,451.31,50.92,2.75,7.85,20,5,27.23,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.997,100,2,511.93,449.66,50.92,3.5,7.85,20,5,28.96,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.999,100,0,514.9,435.78,70.06,0.0,9.06,18,7,28.44,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.999,100,1,512.05,449.78,50.92,3.5,7.85,20,5,27.59,True
RDL-tune-n25-08,25,10000,0.2,0.5,0.999,100,2,504.09,424.28,70.06,0.75,9.0,18,7,28.27,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.995,100,0,523.85,448.22,60.49,7.94,7.21,19,6,36.85,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.995,100,1,514.97,452.7,50.92,3.5,7.85,20,5,36.01,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.995,100,2,505.04,425.92,70.06,0.0,9.06,18,7,34.49,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.997,100,0,507.39,428.27,70.06,0.0,9.06,18,7,37.01,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.997,100,1,512.05,449.78,50.92,3.5,7.85,20,5,36.96,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.997,100,2,505.04,425.92,70.06,0.0,9.06,18,7,35.3,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.999,100,0,521.71,470.9,45.4,0.75,4.67,21,4,36.49,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.999,100,1,514.93,465.59,43.8,0.0,5.54,20,5,37.47,True
RDL-tune-n25-08,25,10000,0.3,0.6,0.999,100,2,517.36,455.09,50.92,3.5,7.85,20,5,37.61,True
